S.no,Instagram_name,Name,Subscribers,Audience_country,Authentic_engagement,Engagement_average,Category_1,Category_2,Engagement_Rate,Subscribers_Scaled,Authentic_Engagement_Scaled,Category_Weight,Influencer_Score
580,leejen_o_423,LEE JENO,2200000.0,0,0.0,2300000.0,0,0,1.0454545454545454,0.0005507618872774007,0.0,0.5,0.4683470467480014
1,cristiano,Cristiano Ronaldo,477900000.0,India,5000000.0,6200000.0,Sports with a ball,0,0.012973425402803935,0.8738755278134753,0.39370078740157477,0.9,0.4360921859854791
8,thv,V,50800000.0,South Korea,12700000.0,12700000.0,0,0,0.25,0.08977418762621628,1.0,0.5,0.3769322562878649
33,instagram,Instagram,546600000.0,India,285400.0,356600.0,Photography,0,0.0006523966337358215,1.0,0.022472440944881888,0.7,0.3747554468424707
2,kyliejenner,Kylie 🤍,368100000.0,United States,3500000.0,5500000.0,Fashion,Modeling,0.014941591958706873,0.6722966770699468,0.2755905511811024,1.0,0.3627837501406873
13,j.m,JIMIN,43500000.0,South Korea,11600000.0,11600000.0,0,0,0.26666666666666666,0.07637231503579953,0.9133858267716535,0.5,0.36225552653173726
18,agustd,SUGA of BTS 민윤기,38300000.0,South Korea,9900000.0,9900000.0,Lifestyle,0,0.2584856396866841,0.0668257756563246,0.7795275590551181,0.7,0.34934750038259466
4,leomessi,Leo Messi,358600000.0,Indonesia,2700000.0,3500000.0,Sports with a ball,Family,0.009760178471834913,0.6548558839728291,0.21259842519685038,0.9,0.3328805216199528
880,kh1000le,CHENLE ZHONG,1900000.0,0,0.0,1300000.0,0,0,0.6842105263157895,0.0,0.0,0.5,0.3236842105263158
11,kimkardashian,Kim Kardashian,329800000.0,United States,1200000.0,1600000.0,Fashion,Beauty,0.004851425106124924,0.6019827427941987,0.09448818897637795,1.0,0.30143303067598515
20,jin,Jin of BTS,39500000.0,United States,8800000.0,8800000.0,0,0,0.22278481012658227,0.06902882320543419,0.6929133858267716,0.5,0.2984052481776175
6,selenagomez,Selena Gomez,344200000.0,United States,1800000.0,2400000.0,Lifestyle,0,0.006972690296339338,0.6284193133835139,0.14173228346456693,0.7,0.28966132682650325
3,arianagrande,Ariana Grande,329600000.0,United States,2900000.0,4000000.0,0,0,0.012135922330097087,0.6016155682026804,0.22834645669291337,0.5,0.2810083307314256
10,beyonce,Beyoncé,274100000.0,United States,1500000.0,2100000.0,Fashion,0,0.007661437431594309,0.49972461905636134,0.11811023622047244,1.0,0.2766040079336406
25,uarmyhope,jhope,39400000.0,South Korea,7800000.0,7800000.0,0,0,0.19796954314720813,0.06884523590967506,0.6141732283464567,0.5,0.2726760337010771
38,therock,Dwayne Johnson,335900000.0,India,375200.0,477500.0,Cinema & Actors/actresses,Fitness & Gym,0.0014215540339386722,0.6131815678355058,0.029543307086614172,0.8,0.27043175338155
12,tomholland2013,Tom Holland,68000000.0,United States,6300000.0,7700000.0,Cinema & Actors/actresses,0,0.11323529411764706,0.12135120249678723,0.49606299212598426,0.8,0.26091207682129186
781,harshasai_,Harsha sai,2700000.0,India,958900.0,1100000.0,Shows,0,0.4074074074074074,0.0014686983660730673,0.07550393700787401,0.8,0.2585043598743597
